item,cue,target,distractor1 ,distractor 2,afectocue,afectotarget,afectoD1,afectoD2,distancia,ceshard
78,TESORO,PELIGRO,AMBULANCIA,BURLA,1,2,2,2,2,0
79,LIBERTAD,CÁRCEL,QUEMADO,DEFORME,1,2,2,2,1,0
80,RESCATE,SECUESTRO,LESIÓN,GANGRENA,1,2,2,2,1,0
81,PÁNICO,AVIÓN,MARIPOSA,ALBA,2,1,1,1,2,0
82,IGNORANCIA,CONOCIMIENTO,GOCE,AZÚCAR,2,1,1,1,1,0
83,LADRÓN,JOYA,COSTA,PRIMAVERA,2,1,1,1,1,0
84,CRISIS,FAMILIA,CANCIÓN,AMANECER,2,1,1,1,2,1
85,SUCIO,DUCHA,ABURRIMIENTO,CICLÓN,2,1,2,2,1,0
86,DOLOR,CORAZÓN,SALVAJE,DESVENTAJA,2,1,2,2,2,0
87,FRACASO,ÉXITO,SOLEDAD,ACCIDENTE,2,1,2,2,1,0
88,CANSANCIO,SUEÑO,PISTOLA,INCENDIO,2,1,2,2,1,0
89,VENENO,TÓXICO,RESPETO,CÁLIDO,2,2,1,1,1,0
90,GUERRA,SUFRIMIENTO,CUMPLEAÑOS,CARAMELO,2,2,1,1,1,0
91,ENGAÑO,CUERNOS,INSPIRACIÓN,RESCATE,2,2,1,1,1,0
92,POBREZA,PENA,AGILIDAD,PADRE,2,2,1,1,2,0
93,ENTIERRO,ATAÚD,INFECCIÓN,INFIEL,2,2,2,2,1,0
94,INTRUSO,INVASOR,BALA,HERIDAS,2,2,2,2,1,0
95,MASACRE,GUERRA,RAPTO,BANCARROTA,2,2,2,2,1,0
96,INSULTO,IDIOTA,HEDOR,PUS,2,2,2,2,1,0
97,BLANCO,NEGRO,TURISTA,SENDERO,3,3,3,3,1,0
98,CÍRCULO,BOLA,MANIQUI,ESQUINA,3,3,3,3,1,0
99,COCINA,COMIDA,MOLDE,CANAL,3,3,3,3,1,0
100,MONEDA,DINERO,VOZ,NARIZ,3,3,3,3,1,0
101,MUSEO,ARTE,NIEBLA,TEORIA,3,3,3,3,1,0
102,OFICINA,PAPEL,CAPA,TERRITORIO,3,3,3,3,1,0
103,TIMBRE,VISITA,PIE,RASCACIELOS,3,3,3,3,1,0
104,VEHÍCULO,COCHE,CIRCO,MOLINO,3,3,3,3,1,0
105,CABLE,ELECTRICIDAD,MOZO,LEON,3,3,3,3,1,0
106,BOTELLA,VIDRIO,POLITICA,TRANCE,3,3,3,3,1,0
107,CALIDAD,CANTIDAD,LENGUAJE,MAIZ,3,3,3,3,1,0
108,ABISMO,HUECO,BIBLIOTECA,TORRE,3,3,3,3,1,0
109,CURA,MONJA,ATICO,MUECA,3,3,3,3,1,0
110,IDEA,METODO,SOMBRERO,LAMPARA,3,3,3,3,1,0
111,METAL,TENEDOR,AUTOBUS,FARO,3,3,3,3,2,0
112,REPTIL,SERPIENTE,POETA,MERMELADA,3,3,3,3,1,0
113,PARAGUAS,LLUVIA,CONEJO,PARED,3,3,3,3,1,0
114,CABLE,LUZ,CLUB,PROBABILIDAD,3,3,3,3,1,0
115,CODO,MUÑECA,BANCO,LINTERNA,3,3,3,3,1,0
116,CORTINA,TELA,MALETA,PANCARTA,3,3,3,3,1,0
117,CURA,MISA,LIGA,MANTEQUILLA,3,3,3,3,1,0
118,GUSANO,MARIPOSA,PASTA,TARJETA,3,3,3,3,1,0
119,HUMANO,MONO,MOTOR,RADIADOR,3,3,3,3,1,0
120,LECHE,CAFÉ,VERDURA,EMPLEO,3,3,3,3,1,0
121,ORACIÓN,IGLESIA,FOLLETO,LANA,3,3,3,3,1,1
122,COCHE,POLICIA,ESTUFA,MATERIAL,3,3,3,3,2,0
123,TROMPETA,BANDA,TOBOGAN,PIROTECNIA,3,3,3,3,1,0
124,RELOJ,TIEMPO,CERA,PATIO,3,3,3,3,1,0
125,VAPOR,OLLA,PRENDA,LADRILLO,3,3,3,3,1,0
126,GUANTE,MANO,JUEZ,NADADOR,3,3,3,3,1,0
127,SILLA,MESA,RANA,CHARCO,3,3,3,3,1,0
128,ABISMO,CAÍDA,TINTA,DOCTOR,3,3,3,3,1,0
129,AMIGO,FIDELIDAD,JARDIN,AMANECER,1,1,1,1,1,0
130,RÍO,MAR,ABRAZO,OBSEQUIO,1,1,1,1,1,0
131,RECUERDO,INFANCIA,GÉRMEN,CORRUPCIÓN,1,1,2,2,1,0
132,JUSTICIA,PAZ,INFECCIÓN,TUMOR,1,1,2,2,1,0
133,LIBERTAD,CÁRCEL,CHOCOLATE,TIERRA,1,2,1,1,1,0
134,CANCIÓN,TRISTEZA,ACUERDO,CAPACIDAD,1,2,1,1,2,1
135,VENCEDOR,PERDEDOR,SECUESTRO,SARAMPIÓN,1,2,2,2,1,0
136,ÁNGEL,DIABLO,TRAGEDIA,VENENO,1,2,2,2,1,0
